STATE,DMEPOS RURAL ZIP CODE,YEAR/QTR,LOCATION
ME,4964,202601,RURAL
ME,4965,202601,RURAL
ME,4966,202601,RURAL
ME,4967,202601,RURAL
ME,4970,202601,RURAL
ME,4971,202601,RURAL
ME,4972,202601,RURAL
ME,4973,202601,RURAL
ME,4974,202601,RURAL
ME,4975,202601,RURAL
ME,4976,202601,RURAL
ME,4978,202601,RURAL
ME,4979,202601,RURAL
ME,4981,202601,RURAL
ME,4982,202601,RURAL
ME,4983,202601,RURAL
ME,4984,202601,RURAL
ME,4985,202601,RURAL
ME,4986,202601,RURAL
ME,4987,202601,RURAL
ME,4988,202601,RURAL
ME,4989,202601,RURAL
ME,4992,202601,RURAL
VT,5001,202601,RURAL
VT,5009,202601,RURAL
VT,5030,202601,RURAL
VT,5031,202601,RURAL
VT,5032,202601,RURAL
VT,5033,202601,RURAL
VT,5034,202601,RURAL
VT,5035,202601,RURAL
VT,5036,202601,RURAL
VT,5037,202601,RURAL
VT,5038,202601,RURAL
VT,5039,202601,RURAL
VT,5040,202601,RURAL
VT,5041,202601,RURAL
VT,5042,202601,RURAL
VT,5043,202601,RURAL
VT,5045,202601,RURAL
VT,5046,202601,RURAL
VT,5047,202601,RURAL
VT,5048,202601,RURAL
VT,5049,202601,RURAL
VT,5050,202601,RURAL
VT,5051,202601,RURAL
VT,5052,202601,RURAL
VT,5053,202601,RURAL
VT,5054,202601,RURAL
VT,5055,202601,RURAL
VT,5056,202601,RURAL
VT,5058,202601,RURAL
VT,5059,202601,RURAL
VT,5060,202601,RURAL
VT,5061,202601,RURAL
VT,5062,202601,RURAL
VT,5065,202601,RURAL
VT,5067,202601,RURAL
VT,5068,202601,RURAL
VT,5069,202601,RURAL
VT,5070,202601,RURAL
VT,5071,202601,RURAL
VT,5072,202601,RURAL
VT,5073,202601,RURAL
VT,5074,202601,RURAL
VT,5075,202601,RURAL
VT,5076,202601,RURAL
VT,5077,202601,RURAL
VT,5079,202601,RURAL
VT,5081,202601,RURAL
VT,5083,202601,RURAL
VT,5084,202601,RURAL
VT,5085,202601,RURAL
VT,5086,202601,RURAL
VT,5088,202601,RURAL
VT,5089,202601,RURAL
VT,5091,202601,RURAL
VT,5101,202601,RURAL
VT,5141,202601,RURAL
VT,5142,202601,RURAL
VT,5143,202601,RURAL
VT,5146,202601,RURAL
VT,5148,202601,RURAL
VT,5149,202601,RURAL
VT,5150,202601,RURAL
VT,5151,202601,RURAL
VT,5152,202601,RURAL
VT,5153,202601,RURAL
VT,5154,202601,RURAL
VT,5155,202601,RURAL
VT,5156,202601,RURAL
VT,5158,202601,RURAL
VT,5159,202601,RURAL
VT,5161,202601,RURAL
VT,5201,202601,RURAL
VT,5250,202601,RURAL
VT,5251,202601,RURAL
VT,5252,202601,RURAL
VT,5253,202601,RURAL
VT,5254,202601,RURAL
VT,5255,202601,RURAL
VT,5257,202601,RURAL
VT,5260,202601,RURAL
VT,5261,202601,RURAL
VT,5262,202601,RURAL
VT,5301,202601,RURAL
VT,5302,202601,RURAL
VT,5303,202601,RURAL
VT,5304,202601,RURAL
VT,5340,202601,RURAL
VT,5341,202601,RURAL
VT,5342,202601,RURAL
VT,5343,202601,RURAL
VT,5344,202601,RURAL
VT,5345,202601,RURAL
VT,5346,202601,RURAL
VT,5350,202601,RURAL
VT,5351,202601,RURAL
VT,5352,202601,RURAL
VT,5353,202601,RURAL
VT,5354,202601,RURAL
VT,5355,202601,RURAL
VT,5356,202601,RURAL
VT,5357,202601,RURAL
VT,5358,202601,RURAL
VT,5359,202601,RURAL
VT,5360,202601,RURAL
VT,5361,202601,RURAL
VT,5362,202601,RURAL
VT,5363,202601,RURAL
VT,5442,202601,RURAL
VT,5443,202601,RURAL
VT,5456,202601,RURAL
VT,5464,202601,RURAL
VT,5469,202601,RURAL
VT,5472,202601,RURAL
VT,5473,202601,RURAL
VT,5487,202601,RURAL
VT,5491,202601,RURAL
VT,5492,202601,RURAL
VT,5601,202601,RURAL
VT,5602,202601,RURAL
VT,5603,202601,RURAL
VT,5604,202601,RURAL
VT,5609,202601,RURAL
VT,5620,202601,RURAL
VT,5633,202601,RURAL
VT,5640,202601,RURAL
VT,5641,202601,RURAL
VT,5647,202601,RURAL
VT,5648,202601,RURAL
VT,5649,202601,RURAL
VT,5650,202601,RURAL
VT,5651,202601,RURAL
VT,5652,202601,RURAL
VT,5653,202601,RURAL
VT,5654,202601,RURAL
VT,5655,202601,RURAL
VT,5656,202601,RURAL
VT,5657,202601,RURAL
VT,5658,202601,RURAL
VT,5660,202601,RURAL
VT,5661,202601,RURAL
VT,5662,202601,RURAL
VT,5663,202601,RURAL
VT,5664,202601,RURAL
VT,5665,202601,RURAL
VT,5666,202601,RURAL
VT,5667,202601,RURAL
VT,5669,202601,RURAL
VT,5670,202601,RURAL
VT,5671,202601,RURAL
VT,5672,202601,RURAL
VT,5673,202601,RURAL
VT,5674,202601,RURAL
VT,5675,202601,RURAL
VT,5676,202601,RURAL
VT,5677,202601,RURAL
VT,5678,202601,RURAL
VT,5679,202601,RURAL
VT,5680,202601,RURAL
VT,5681,202601,RURAL
VT,5682,202601,RURAL
VT,5701,202601,RURAL
VT,5702,202601,RURAL
VT,5730,202601,RURAL
VT,5731,202601,RURAL
VT,5732,202601,RURAL
VT,5733,202601,RURAL
VT,5734,202601,RURAL
VT,5735,202601,RURAL
VT,5736,202601,RURAL
VT,5737,202601,RURAL
VT,5738,202601,RURAL
