HCPCS,Mod,From,Through,Purchase Fee,Fee Effective Date,Note Code,2,Rental Fee,Fee Effective Date,Note Code
E0784,UD,0,999,"$4,914.10 ",9/1/2021,,,$491.41 ,9/1/2021,,
E0786,,0,999,"$5,571.34 ",4/1/2013,,,,,,
E0791,,0,999,"$2,284.76 ",4/1/2017,,,$228.48 ,4/1/2017,,
E0840,,0,999,$53.11 ,4/1/2013,,,$5.31 ,4/1/2015,,
E0850,,0,999,$82.50 ,4/1/2013,,,$8.25 ,4/1/2015,,
E0855,,0,999,$461.97 ,4/1/2013,,,$46.20 ,4/1/2015,,
E0856,,0,999,$150.95 ,4/1/2013,,,,,,
E0860,,0,999,$24.82 ,4/1/2013,,,$2.48 ,4/1/2015,,
E0880,,0,999,$89.85 ,4/1/2013,,,$8.99 ,4/1/2015,,
E0900,,0,999,$90.45 ,4/1/2013,,,$9.05 ,4/1/2015,,
E0910,,0,999,$165.33 ,4/1/2017,,,$16.53 ,4/1/2017,,
E0911,,0,999,$443.97 ,4/1/2017,,,$44.40 ,4/1/2017,,
E0912,,0,999,"$1,046.97 ",4/1/2017,,,$104.70 ,4/1/2017,,
E0920,,0,999,$445.74 ,4/1/2013,,,$44.57 ,4/1/2013,,
E0930,,0,999,$441.32 ,4/1/2013,,,$44.13 ,4/1/2013,,
E0940,,0,999,$254.98 ,4/1/2017,,,$25.50 ,4/1/2017,,
E0941,,0,999,$419.34 ,4/1/2013,,,$41.93 ,4/1/2013,,
E0942,,0,999,$18.62 ,4/1/2013,,,,,,
E0944,,0,999,$28.90 ,4/1/2013,,,,,,
E0945,,0,999,$24.45 ,4/1/2013,,,,,,
E0946,,0,999,$372.79 ,4/1/2013,,,$37.28 ,4/1/2013,,
E0950,,0,999,$148.97 ,4/1/2017,,,,,,
E0951,,0,999,$12.05 ,3/1/2012,,,,,,
E0952,,0,999,$12.58 ,3/1/2012,,,,,,
E0953,,0,999,$110.63 ,1/1/2018,,,,,,
E0954,,0,999,$201.32 ,1/1/2018,,,,,,
E0955,,0,999,$182.29 ,3/1/2012,,,,,,
E0956,,0,999,$93.92 ,4/1/2017,,,,,,
E0957,,0,999,$134.51 ,4/1/2013,,,,,,
E0958,,0,999,$400.47 ,4/1/2017,,,,,,
E0959,,0,999,$35.11 ,7/1/2013,,,$3.51 ,4/1/2019,,
E0960,,0,999,$88.72 ,4/1/2013,,,,,,
E0961,,0,999,$22.55 ,4/1/2017,,,,,,
