HCPCS Code,Rate
A9586,$165.00
B4034,$3.46
B4035,$5.98
B4036,$5.27
B4081,$17.80
B4082,$13.23
B4083,$2.03
B4087,$29.38
B4088,$29.38
B4100,$0.70
B4102,$4.56
B4103,$4.56
B4104,$1.28
B4105,$74.70
B4105NU,$74.70
B4105RR,$5.75
B4105UE,$56.03
B4149,$1.14
B4150,$0.42
B4152,$0.35
B4153,$1.35
B4154,$0.74
B4155,$0.82
B4157,$2.49
B4158,$1.06
B4159,$1.06
B4160,$0.89
B4161,$1.87
B4162,$2.47
B4164,$4.91
B4168,$7.16
B4176,$13.86
B4178,$16.63
B4180,$7.05
B4185,$3.25
B4189,$51.37
B4193,$66.38
B4197,$80.82
B4199,$92.35
B4216,$2.23
B4220,$2.31
B4222,$2.85
B4224,$7.23
B5000,$3.44
B5100,$1.34
B9002MS,$20.30
B9002NU,$608.49
B9002RR,$46.81
B9002UE,$304.25
B9004MS,$75.03
B9004NU,"$1,233.47"
B9004RR,$94.88
B9004UE,$690.74
B9006MS,$75.03
B9006NU,"$1,233.47"
B9006RR,$94.88
B9006UE,$690.74
E0100NU,$16.36
E0100RR,$1.26
E0100UE,$13.04
E0105NU,$38.11
E0105RR,$2.93
E0105UE,$29.37
E0110NU,$60.19
E0110RR,$4.63
E0110UE,$45.12
E0111NU,$41.31
E0111RR,$3.18
E0111UE,$31.89
E0112NU,$28.70
E0112RR,$2.21
E0112UE,$21.52
E0113NU,$14.66
E0113RR,$1.13
E0113UE,$10.99
E0114NU,$32.74
E0114RR,$2.52
E0114UE,$24.75
E0116NU,$19.25
E0116RR,$1.48
E0116UE,$14.49
E0117NU,$133.68
E0117RR,$10.28
E0118NU,$535.50
E0118RR,$12.75
E0130NU,$42.00
E0130RR,$3.23
E0130UE,$26.85
E0135NU,$40.25
E0135RR,$3.10
E0135UE,$22.54
E0140NU,$215.66
E0140RR,$16.59
E0140UE,$161.74
E0141NU,$45.88
E0141RR,$3.53
E0141UE,$25.69
E0143NU,$45.88
E0143RR,$3.53
E0143UE,$25.69
E0144NU,$190.39
E0144RR,$14.65
E0147NU,$298.91
E0147RR,$22.99
E0147UE,$224.18
E0148NU,$70.00
E0148RR,$5.38
E0148UE,$48.14
E0149NU,$112.61
E0149RR,$8.66
E0149UE,$63.06
E0152,$129.20
E0152NU,$129.20
E0152RR,$9.94
E0152UE,$96.90
E0153NU,$48.13
E0153RR,$3.70
E0153UE,$36.24
E0154NU,$39.70
E0154RR,$3.05
E0154UE,$29.78
E0155NU,$18.63
E0155RR,$1.43
E0155UE,$11.33
E0156NU,$13.70
E0156RR,$1.05
E0156UE,$7.67
E0157NU,$43.99
E0157RR,$3.38
E0157UE,$32.99
E0158NU,$17.86
E0158RR,$1.37
E0158UE,$13.39
E0159NU,$10.68
E0159RR,$0.82
E0159UE,$8.01
E0160NU,$22.94
E0160RR,$1.76
E0160UE,$7.81
E0161NU,$18.19
E0161RR,$1.40
E0161UE,$6.33
E0162NU,$101.07
E0162RR,$7.77
E0162UE,$78.69
E0163NU,$33.96
E0163RR,$2.61
E0163UE,$19.02
E0165NU,$128.91
E0165RR,$9.92
E0167NU,$8.32
E0167RR,$0.64
E0167UE,$2.87
E0168NU,$76.50
E0168RR,$5.88
E0168UE,$37.14
E0170NU,"$1,115.15"
E0170RR,$85.78
E0171NU,$200.72
E0171RR,$15.44
E0172NU,$925.00
E0172RR,$71.15
E0175NU,$45.94
E0175RR,$3.53
E0175UE,$33.95
E0181NU,$101.43
E0181RR,$7.80
E0182NU,$180.66
E0182RR,$13.90
E0183,$20.66
E0183NU,$20.66
E0183RR,$1.59
E0184NU,$134.41
E0184RR,$10.34
E0184UE,$45.89
E0185NU,$107.63
E0185RR,$8.28
E0185UE,$60.27
E0186NU,$140.22
E0186RR,$10.79
E0187NU,$160.22
E0187RR,$12.32
E0188NU,$18.24
E0188RR,$1.40
E0188UE,$6.47
E0189NU,$35.86
E0189RR,$2.76
E0189UE,$12.99
E0190NU,$21.55
E0190RR,$1.66
E0191NU,$6.97
E0191RR,$0.54
E0191UE,$5.19
E0193NU,"$5,373.80"
E0193RR,$413.37
E0194NU,"$22,569.75"
E0194RR,"$1,736.13"
E0196NU,$224.23
E0196RR,$17.25
E0197NU,$152.92
E0197RR,$11.76
E0197UE,$55.04
E0198NU,$152.92
E0198RR,$11.76
E0199NU,$22.12
E0199RR,$1.70
E0199UE,$8.75
E0200NU,$50.47
E0200RR,$3.88
E0200UE,$38.15
E0201,$107.74
E0201NU,$107.74
E0201RR,$8.29
E0201UE,$80.80
E0202NU,$372.90
E0202RR,$28.68
E0203NU,$129.20
E0203RR,$9.94
E0205NU,$123.74
E0205RR,$9.52
E0205UE,$93.32
E0210NU,$20.80
E0210RR,$1.60
E0210UE,$15.69
E0215NU,$45.10
E0215RR,$3.47
E0215UE,$34.08
E0217NU,$316.05
E0217RR,$24.31
E0217UE,$238.73
E0218NU,$109.80
E0218RR,$8.45
E0218UE,$61.49
E0221NU,$83.30
E0221RR,$6.41
E0225NU,$247.42
E0225RR,$19.03
E0225UE,$186.89
E0231NU,$22.50
E0231RR,$1.73
E0232NU,$22.50
E0232RR,$1.73
E0235NU,$109.91
E0235RR,$8.45
E0236NU,$281.73
E0236RR,$21.67
E0239NU,$286.36
E0239RR,$22.03
E0239UE,$216.33
E0240NU,$84.37
E0240RR,$6.49
E0240TF,"$1,004.00"
E0240TG,"$1,335.07"
E0241NU,$25.50
E0241RR,$1.96
E0242NU,$65.00
E0242RR,$5.00
E0243NU,$36.55
E0243RR,$2.81
E0244NU,$35.00
E0244RR,$2.69
E0245NU,$35.00
E0245RR,$2.69
E0246NU,$52.88
E0246RR,$4.07
E0247NU,$78.22
E0247RR,$6.02
E0248NU,$142.00
E0248RR,$10.92
E0249NU,$62.67
E0249RR,$4.82
E0249UE,$47.08
E0250NU,$563.42
E0250RR,$43.34
E0251NU,$426.90
E0251RR,$32.84
E0255NU,$677.10
E0255RR,$52.08
E0256NU,$480.38
E0256RR,$36.95
E0260NU,$674.00
E0260RR,$51.85
E0261NU,$388.97
E0261RR,$29.92
E0265NU,"$1,152.46"
E0265RR,$88.65
E0266NU,"$1,023.60"
E0266RR,$78.74
E0270NU,$800.00
E0270RR,$61.54
E0271NU,$78.62
E0271RR,$6.05
E0271UE,$44.03
E0272NU,$123.00
E0272RR,$9.46
E0272UE,$68.88
E0273NU,$15.57
E0273RR,$1.20
E0274NU,$45.00
E0274RR,$3.46
E0275NU,$10.57
E0275RR,$0.81
E0275UE,$3.75
E0276NU,$9.19
E0276RR,$0.71
E0276UE,$3.31
E0277NU,"$1,467.23"
E0277RR,$112.86
E0280NU,$22.73
E0280RR,$1.75
E0280UE,$17.05
E0290NU,$444.54
E0290RR,$34.20
E0291NU,$322.99
E0291RR,$24.85
E0292NU,$499.86
E0292RR,$38.45
E0293NU,$425.39
E0293RR,$32.72
E0294NU,$777.10
